,광역시도,행정구역,푸드트럭 수,인구수,shortName,x,y,면적
0,서울특별시,영등포구,137.0,351837.0,서울영등포,4.0,6.0,24.56
1,서울특별시,서초구,106.0,407416.0,서울서초,6.0,6.0,47.04
2,서울특별시,중구,80.0,114967.0,서울중구,6.0,4.0,9.96
3,경기도,수원시,46.0,1125461.0,수원,6.0,9.0,121.09
4,경상남도,김해시,33.0,500641.0,김해,8.0,19.0,463.26
6,서울특별시,마포구,31.0,364232.0,서울마포,5.0,4.0,23.87
7,부산광역시,기장군,31.0,142223.0,부산기장,12.0,16.0,217.9
8,울산광역시,남구,30.0,327270.0,울산남구,12.0,15.0,72.11
9,경기도,고양시,30.0,955384.0,고양,4.0,2.0,267.33
10,서울특별시,종로구,30.0,140595.0,서울종로,6.0,3.0,23.9
11,대전광역시,유성구,29.0,321618.0,대전유성,4.0,13.0,177.16
12,강원도,춘천시,27.0,264144.0,춘천,10.0,3.0,1116.35
13,서울특별시,강남구,24.0,526157.0,서울강남,6.0,7.0,39.5
14,제주특별자치도,제주시,22.0,430504.0,제주,4.0,24.0,977.8
15,광주광역시,동구,22.0,97571.0,광주동구,3.0,20.0,48.86
16,경기도,화성시,21.0,555129.0,화성,3.0,7.0,688.1
17,강원도,평창군,20.0,38439.0,평창,10.0,6.0,1463.65
18,경기도,용인시,20.0,915005.0,용인,7.0,9.0,591.5
19,경기도,안산시,18.0,668089.0,안산,3.0,6.0,144.78
20,경상남도,양산시,16.0,282278.0,양산,8.0,17.0,404.38
21,전라북도,군산시,16.0,259094.0,군산,2.0,14.0,234.74
22,제주특별자치도,서귀포시,16.0,145369.0,서귀포,4.0,25.0,870.68
23,경기도,과천시,16.0,63227.0,과천,7.0,7.0,35.813
24,서울특별시,송파구,15.0,615487.0,서울송파,8.0,6.0,33.9
25,경기도,김포시,15.0,326523.0,김포,2.0,3.0,276.64
26,서울특별시,양천구,15.0,453634.0,서울양천,4.0,5.0,17.4
27,대구광역시,수성구,15.0,427477.0,대구수성,10.0,14.0,76.49
28,광주광역시,서구,14.0,297826.0,광주서구,2.0,20.0,46.73
29,경기도,이천시,13.0,190537.0,이천,8.0,8.0,461.02
30,경기도,평택시,13.0,423763.0,평택,5.0,9.0,452.31
31,경상남도,창원시,12.0,1010040.0,창원,7.0,18.0,734.87
32,대구광역시,중구,11.0,74950.0,대구중구,10.0,13.0,7.08
33,충청북도,청주시,11.0,790216.0,청주,6.0,12.0,932.51
34,울산광역시,중구,11.0,229589.0,울산중구,11.0,14.0,37.0
35,부산광역시,연제구,11.0,198383.0,부산연제,11.0,17.0,12.08
36,서울특별시,금천구,10.0,222566.0,서울금천,5.0,7.0,13.01
37,서울특별시,은평구,10.0,464236.0,서울은평,4.0,3.0,29.7
38,충청남도,공주시,10.0,102371.0,공주,4.0,10.0,940.71
39,경상남도,통영시,10.0,129599.0,통영,8.0,20.0,236.5
40,대구광역시,달서구,10.0,584517.0,대구달서,8.0,15.0,62.3
41,전라남도,완도군,10.0,45985.0,완도,2.0,23.0,391.81
42,강원도,강릉시,9.0,202520.0,강릉,11.0,4.0,1040.07
43,경기도,양주시,9.0,191266.0,양주,8.0,2.0,310.31
44,인천광역시,중구,9.0,105029.0,인천중구,1.0,7.0,110.6
45,인천광역시,서구,9.0,477567.0,인천서구,1.0,4.0,137.05
46,대전광역시,대덕구,9.0,190815.0,대전대덕,5.0,12.0,68.45
47,인천광역시,계양구,8.0,317785.0,인천계양,2.0,5.0,45.58
48,부산광역시,해운대구,8.0,397134.0,부산해운대,12.0,17.0,51.44
49,부산광역시,사상구,8.0,228824.0,부산사상,9.0,17.0,35.8
50,경기도,양평군,8.0,95614.0,양평,9.0,6.0,877.08
51,경상남도,창녕군,8.0,56734.0,창녕,7.0,15.0,533.09
52,부산광역시,북구,8.0,292375.0,부산북구,9.0,16.0,38.3
53,경기도,의왕시,8.0,149080.0,의왕,6.0,8.0,54.0
54,인천광역시,부평구,8.0,527153.0,인천부평,2.0,6.0,32.0
55,경상북도,포항시,8.0,488395.0,포항,12.0,11.0,1127.0
56,경기도,안양시,8.0,566558.0,안양,3.0,4.0,58.52
57,충청남도,아산시,7.0,281938.0,아산,3.0,9.0,542.2
58,경기도,가평군,7.0,53497.0,가평,9.0,3.0,843.04
59,전라북도,익산시,7.0,284421.0,익산,3.0,14.0,507.1
60,경기도,의정부시,7.0,408220.0,의정부,7.0,3.0,81.59
61,경기도,남양주시,7.0,610300.0,남양주,8.0,3.0,458.44
62,전라남도,보성군,7.0,38705.0,보성,3.0,21.0,663.16
63,충청남도,당진시,6.0,153415.0,당진,2.0,9.0,694.13
64,경상남도,거제시,6.0,240442.0,거제,9.0,20.0,400.7
65,경상남도,밀양시,6.0,97525.0,밀양,8.0,16.0,799.03
66,인천광역시,남동구,6.0,505791.0,인천남동,2.0,8.0,56.9
67,경상남도,사천시,6.0,106388.0,사천,6.0,18.0,396.3
68,경기도,파주시,6.0,385528.0,파주,3.0,2.0,672.56
70,대구광역시,북구,6.0,431681.0,대구북구,9.0,13.0,95.5
71,서울특별시,중랑구,5.0,391655.0,서울중랑,8.0,4.0,18.5
72,경상남도,함안군,5.0,63142.0,함안,7.0,17.0,417.0
73,전라남도,무안군,5.0,72905.0,무안,1.0,19.0,436.4
74,경상남도,합천군,5.0,42515.0,합천,7.0,14.0,983.42
75,경기도,하남시,5.0,150061.0,하남,9.0,5.0,93.1
76,대전광역시,서구,5.0,475094.0,대전서구,4.0,14.0,95.25
77,경기도,광주시,5.0,290210.0,광주,8.0,7.0,431.84
78,경상북도,영덕군,4.0,34864.0,영덕,12.0,10.0,741.05
79,경기도,연천군,4.0,41076.0,연천,7.0,1.0,695.23
80,경상북도,경산시,4.0,251220.0,경산,11.0,12.0,411.58
81,경상남도,남해군,4.0,41388.0,남해,6.0,19.0,357.0
82,경기도,오산시,4.0,200793.0,오산,3.0,8.0,42.74
83,경기도,부천시,4.0,805473.0,부천,2.0,4.0,53.44
84,강원도,홍천군,4.0,62957.0,홍천,10.0,4.0,1817.94
85,충청남도,천안시,3.0,584912.0,천안,4.0,9.0,636.5
86,강원도,양양군,3.0,24551.0,양양,10.0,2.0,628.68
87,대전광역시,중구,3.0,243626.0,대전중구,5.0,14.0,61.98
88,경기도,안성시,3.0,173061.0,안성,4.0,8.0,554.2
89,강원도,원주시,3.0,313851.0,원주,10.0,7.0,867.3
90,부산광역시,동래구,3.0,256584.0,부산동래,11.0,16.0,16.6
91,대구광역시,서구,3.0,196378.0,대구서구,8.0,14.0,17.5
92,경상북도,구미시,3.0,396685.0,구미,9.0,10.0,616.1
93,서울특별시,성동구,3.0,279939.0,서울성동,7.0,5.0,16.85
94,부산광역시,동구,3.0,85952.0,부산동구,10.0,17.0,9.77
95,서울특별시,광진구,3.0,342909.0,서울광진,7.0,6.0,17.05
96,충청남도,부여군,3.0,64652.0,부여,2.0,12.0,624.51
97,충청북도,충주시,3.0,198077.0,충주,6.0,10.0,983.7
98,전라북도,전주시,2.0,630708.0,전주,3.0,16.0,206.45
99,서울특별시,강서구,2.0,554709.0,서울강서,4.0,4.0,41.4
100,서울특별시,강북구,2.0,310292.0,서울강북,5.0,2.0,23.6
101,강원도,정선군,2.0,34242.0,정선,11.0,6.0,1220.67
102,충청북도,제천시,2.0,127462.0,제천,8.0,10.0,882.47
103,충청남도,청양군,2.0,29671.0,청양,3.0,11.0,479.67
104,강원도,고성군,2.0,25589.0,고성(강원),9.0,0.0,664.19
105,울산광역시,울주군,2.0,203232.0,울산울주,11.0,15.0,754.93
106,부산광역시,영도구,2.0,122446.0,부산영도,10.0,19.0,13.98
107,서울특별시,강동구,2.0,432028.0,서울강동,8.0,5.0,24.6
108,강원도,인제군,2.0,29260.0,인제,9.0,2.0,1646.08
109,강원도,양구군,2.0,20809.0,양구,8.0,0.0,700.8
110,충청남도,금산군,2.0,51134.0,금산,3.0,13.0,576.28
111,경상북도,의성군,2.0,48776.0,의성,10.0,11.0,1175.89
112,서울특별시,서대문구,2.0,288543.0,서울서대문,5.0,3.0,17.6
113,서울특별시,노원구,2.0,547202.0,서울노원,6.0,1.0,35.44
114,서울특별시,동작구,2.0,383917.0,서울동작,5.0,5.0,16.36
115,강원도,철원군,2.0,43189.0,철원,6.0,0.0,899.82
116,인천광역시,강화군,2.0,58296.0,인천강화,1.0,3.0,411.2
117,대구광역시,동구,2.0,330830.0,대구동구,11.0,13.0,182.35
118,부산광역시,부산진구,2.0,365721.0,부산부산진,10.0,16.0,29.7
119,경상남도,의령군,2.0,25091.0,의령,7.0,16.0,482.95
120,부산광역시,중구,2.0,43105.0,부산중구,10.0,18.0,2.8
121,경기도,성남시,2.0,911628.0,성남,7.0,8.0,141.82
122,경상남도,거창군,1.0,57384.0,거창,6.0,15.0,804.09
123,부산광역시,금정구,1.0,235887.0,부산금정,10.0,15.0,65.19
124,전라북도,고창군,1.0,51887.0,고창,1.0,16.0,606.9
125,경상북도,상주시,1.0,93305.0,상주,8.0,9.0,1254.82
126,전라남도,여수시,1.0,263166.0,여수,4.0,21.0,501.3
127,충청남도,서천군,1.0,51776.0,서천,2.0,13.0,363.4
128,부산광역시,사하구,1.0,322757.0,부산사하,9.0,19.0,40.89
129,전라남도,함평군,1.0,29242.0,함평,1.0,18.0,392.77
130,경상남도,산청군,1.0,31983.0,산청,5.0,18.0,794.59
131,전라남도,장흥군,1.0,35397.0,장흥,2.0,22.0,617.96
132,서울특별시,도봉구,1.0,331682.0,서울도봉,5.0,1.0,20.8
133,서울특별시,구로구,1.0,401233.0,서울구로,4.0,7.0,20.11
134,전라북도,부안군,1.0,49980.0,부안,2.0,15.0,493.54
135,충청북도,진천군,1.0,62809.0,진천,5.0,11.0,406.08
136,전라북도,남원시,1.0,76854.0,남원,5.0,17.0,752.74
137,광주광역시,북구,1.0,439683.0,광주북구,3.0,19.0,121.74
138,충청북도,괴산군,1.0,33297.0,괴산,7.0,11.0,842.0
139,경기도,광명시,1.0,327111.0,광명,3.0,3.0,38.5
140,경상남도,진주시,1.0,330378.0,진주,6.0,17.0,712.62
141,경기도,군포시,1.0,273302.0,군포,5.0,8.0,36.35
142,충청남도,예산군,1.0,76757.0,예산,3.0,10.0,543.1
143,강원도,동해시,1.0,86747.0,동해,11.0,5.0,180.01
144,경상남도,하동군,1.0,43029.0,하동,5.0,19.0,675.57
