NUM,가게명,x,y,주소
1,푸드트럭(악양둑방),326130.3433,204576.3462,경상남도 함안군 법수면 윤외리 104-2번지 악양 둑방 내 
2,꿀삐닭강정,370764.9285,197417.952,경상남도 김해시 삼계동 32-3번지 
3,사랑을 볶는 카페,295595.647,168636.375,경상남도 사천시 용현면 금문리 367-6번지 
4,초롱푸드,354167.4923,156673.5857,경상남도 거제시 옥포동 1291-6번지 거제시립옥포도서관 
5,앵강푸드,287926.3218,143275.9044,경상남도 남해군 이동면 무림리 260번지 앵강소공원 내 
6,커피플라워파크,284326.9069,244613.5686,경상남도 거창군 거창읍 양평리 1160번지 
7,베스트푸드,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 렛츠런파크부산경남 분수광장 옆 
8,통일써니,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 렛처런파크부산경남분수광장 옆 
9,마시가이따,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드 내 
10,소타워즈,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드 내 
11,섬마을기행기,310813.2153,150721.5769,경상남도 통영시 사량면 금평리 산 55-1번지 
12,꿀삐닭강정,370517.0353,195116.6364,경상남도 김해시 대성동 434번지 대성동고분군 내 1-1 
13,먹즈아,370517.0353,195116.6364,경상남도 김해시 대성동 434번지 대성동고분군 내 1-3 
14,집나온형제,370517.0353,195116.6364,경상남도 김해시 대성동 434번지 대성동고분군 박물관 광장 2-4 
15,간다GO,370616.6246,194577.4523,경상남도 김해시 봉황동 496번지 수릉원 서편 입구 3-1 
16,에이치 제이 (황제카스테라),370616.6246,194577.4523,경상남도 김해시 봉황동 496번지 수릉원 서편 입구 3-4 
17,JOES BAR,327480.6699,199012.6685,경상남도 함안군 가야읍 도항리 249-50번지 
18,더 몬스터,327480.6699,199012.6685,경상남도 함안군 가야읍 도항리 249-50번지 
19,뜨겁냥 차갑냥,327480.6699,199012.6685,경상남도 함안군 가야읍 도항리 249-50번지 
20,쉬림프블로썸,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드 내 
21,부릉부릉,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드내 
22,혼밥혼술,370597.9868,186043.5966,경상남도 김해시 수가동 1333번지 더비랜드내 
23,하노이포,370517.0353,195116.6364,경상남도 김해시 대성동 434번지 대성동고분군 박물관 광장 2-1 
24,주식회사 스토리에프씨,370850.2051,194739.2812,경상남도 김해시 봉황동 431번지 수릉원 동편 입구 4-2 
25,세븐 데이즈,327480.6699,199012.6685,경상남도 함안군 가야읍 도항리 249-50번지 
26,네바퀴피자,327480.6699,199012.6685,경상남도 함안군 가야읍 도항리 249-50번지 
27,푸드트럭(강나루캠핑장),336015,210921,경상남도 함안군 칠서면 이룡리 996-8번지 강나루생태공원내 
28,쉼표,380114.4857,202779.3761,경상남도 양산시 물금읍 물금리 792-8번지 푸드트럭황산A 
29,황금마차,265393.4631,225309.3478,경상남도 함양군 함양읍 교산리 1041번지 (상림고운광장 가 구역) 
30,빨간까페,319854.6923,165847.0512,경상남도 고성군 고성읍 기월리 90번지 종합운동장 
31,용산푸드트럭,330802.493,211513.1918,경상남도 창녕군 남지읍 용산리 160-2번지 낙동강하천공원주차장 
32,"청춘불패고투고(Go,투go)",380849.8043,201679.1209,경상남도 양산시 물금읍 물금리 213-3번지 푸드트럭황산C 
33,온더로드,349670.5856,156365.5908,경상남도 거제시 양정동 981번지 거제시보건소 
34,차와향,262946.4992,182010.831,경상남도 하동군 악양면 평사리 72-2번지 평사리공원 내 
35,참새방앗간,299566.7058,161305.0425,경상남도 사천시 벌리동 2번지 삼천포종합운동장 내 
