EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
CULTURE	1	20140815	4100000000	경기도				2642.35944	1488.177627	1154.181813	137.191733	126.810908	95.113082	72.402699	32.089058	88.126969	99.063147	121.631736	208.539443	168.035959	108.808632	82.676149	17.40278	59.276923	71.008409	137.179008	125.591132	85.226712	50.825745	50.9556	76.881757	49.722189	67.194442	123.906773	43.547866	6.251187	41.835575	89.213254	106.740042	99.110531
CULTURE	1	20140815	2800000000	인천광역시				2659.279126	1423.717224	1235.561902	126.714926	123.952086	88.490051	79.344428	9.095187	106.196807	162.645894	75.666706	194.847106	128.371353	92.521467	36.91512	47.521489	67.97704	83.457564	127.514569	117.35383	88.585816	33.008199	52.860106	130.664941	91.027523	102.39491	108.212675	34.678991	3.540777	46.152039	99.857438	107.786837	91.923251
CULTURE	1	20140815	1129000000	서울특별시	성북구			2621.011518	1498.047	1122.964518	145.767326	135.399374	132.269062	103.112811	4.472639	52.637874	155.28896	81.633431	159.942646	117.943762	114.093542	156.735202	61.032508	42.970545	34.747318	145.825176	140.599419	107.805065	74.657185	42.237783	81.279904	65.223398	43.253366	95.922308	30.912096	9.398434	41.12364	69.373579	88.03975	87.313415
CULTURE	1	20140815	1168000000	서울특별시	강남구			2554.716575	1391.63842	1163.078155	147.046834	144.840741	130.416288	83.633544	1.485436	30.424848	127.581176	109.769522	151.006488	154.468356	125.551571	100.368173	31.286921	17.315	36.443522	147.046834	141.745423	121.74804	102.673822	20.40353	24.125605	95.290766	145.535378	55.832249	38.47539	36.459361	51.182484	35.364234	79.316391	67.878648
CULTURE	1	20140815	1111000000	서울특별시	종로구			2653.027886	1370.882675	1282.145211	151.168874	139.993901	126.197812	81.258355	23.093536	93.447483	115.23375	78.77769	152.408503	118.101476	124.442886	117.044574	9.811805	28.821943	11.080087	151.168874	144.566762	116.432041	84.069713	3.9918	63.501938	72.99996	74.817832	96.188382	86.817188	96.998673	35.733608	73.535927	81.004699	100.317814
CULTURE	1	20140815	1138000000	서울특별시	은평구			2511.470113	1470.27399	1041.196123	137.763982	132.716552	121.573626	104.54739	20.644311	27.393079	92.160932	91.923027	183.066117	117.17304	198.555617	133.736325	91.595106	13.43388	3.991006	137.763982	128.704327	103.139254	79.773188	22.454956	46.354699	82.07893	59.709492	65.181293	11.684962	19.233602	15.249669	57.030818	111.330879	101.506072
CULTURE	1	20140815	1135000000	서울특별시	노원구			2492.341855	1500.567606	991.774249	137.475719	129.072748	110.692876	100.82654	34.076256	37.458257	90.69875	63.915907	181.037186	161.148421	103.095083	221.842323	80.162517	4.191079	44.873944	137.475719	129.306887	117.892635	76.625725	7.592591	64.839453	57.977895	19.566174	31.299114	38.193191	24.567632	24.509098	77.315133	97.073821	87.539181
CULTURE	1	20140815	1144000000	서울특별시	마포구			2618.800559	1444.91871	1173.881849	140.879665	132.932974	118.729772	100.791128	50.36266	45.132567	129.549297	130.898602	155.349414	150.683662	115.566246	90.83137	41.233789	2.530064	39.4475	140.879665	139.991965	102.17594	71.227164	8.75438	66.650419	145.819064	66.508386	89.411051	55.08191	24.154438	23.440491	52.805611	108.212301	78.769064
CULTURE	1	20140815	1141000000	서울특별시	서대문구			2639.378809	1390.597304	1248.781505	149.643929	147.963431	123.432719	117.722067	29.659399	32.38216	124.961643	125.775278	143.941388	110.901729	92.203335	119.129325	44.518248	0.39896	27.963693	149.643929	145.073886	99.548354	84.773657	63.528408	89.747222	101.487897	42.465151	111.989109	37.993959	71.96892	6.695631	55.505613	90.940553	97.419216
CULTURE	1	20140815	1171000000	서울특별시	송파구			2565.807482	1464.762282	1101.0452	145.904274	141.502846	130.375725	113.62713	21.282066	52.72371	114.668029	72.576471	150.921902	120.328113	165.222686	176.78995	45.982576	9.5511	3.305704	145.904274	140.460402	91.774423	88.330497	44.23127	61.449351	69.163434	44.646703	81.595539	54.800877	14.879146	47.604154	40.084661	94.739596	81.380873
CULTURE	1	20140815	1123000000	서울특별시	동대문구			2490.660811	1551.876031	938.78478	148.470159	145.838455	122.524366	121.15489	35.232654	42.249981	89.241153	45.871667	154.810998	107.374333	119.782115	202.973648	150.224078	36.425583	29.701951	148.470159	142.365266	117.904447	102.015227	9.440308	49.485103	72.477448	14.269773	51.415568	12.537305	30.873431	52.983042	26.413559	67.572084	40.56206
CULTURE	1	20140815	1126000000	서울특별시	중랑구			2267.343643	1539.601883	727.74176	123.232132	121.35847	111.854283	83.320271	50.674214	36.801486	93.061406	12.114917	137.600211	94.74198	236.518123	259.166547	126.587083	46.026769	6.543991	123.232132	121.215442	98.609925	95.148656	15.14615	18.922079	4.140173	20.895861	35.970973	2.467703	38.088735	43.952868	24.171193	48.164079	37.615791
CULTURE	1	20140815	1150000000	서울특별시	강서구			2561.422842	1486.769053	1074.653789	133.387463	126.606345	111.865137	84.887021	6.668371	91.763541	74.892054	77.28252	111.537736	144.451363	111.732876	223.938426	100.918862	9.788444	77.048894	133.387463	122.101861	104.295328	80.537023	6.153959	69.899721	74.827007	39.669269	106.870634	24.220679	12.76433	3.139587	83.773096	116.719247	96.294585
CULTURE	1	20140815	1114000000	서울특별시	중구			2468.852878	1430.434928	1038.41795	133.086037	131.778298	119.789224	102.235674	39.156995	8.465785	85.315223	118.895162	221.197248	147.990171	161.602947	138.871102	4.165165	5.076779	12.809118	133.086037	129.706979	117.121084	76.001895	29.660525	9.939113	92.494625	69.543359	51.884488	62.583377	47.188914	24.228872	54.358369	70.648062	69.972251
CULTURE	1	20140815	1165000000	서울특별시	서초구			2637.862264	1433.98277	1203.879494	135.182148	132.60832	126.801178	106.228873	37.431641	36.568204	103.203785	99.549133	189.825462	153.205661	112.299198	68.553282	41.285362	31.065768	60.174755	135.182148	133.698304	97.069343	102.610858	2.341481	64.431495	139.603758	53.449217	121.348814	29.79015	44.161453	61.656157	57.087994	73.272883	88.175439
CULTURE	1	20140815	1121500000	서울특별시	광진구			2510.717146	1482.559803	1028.157343	139.40158	137.226527	130.160021	97.534222	17.511595	67.373483	108.718829	55.309187	125.751912	124.524215	229.738793	150.818194	76.885716	5.872644	15.732885	139.40158	128.690651	122.349163	106.901451	52.786126	13.296826	53.675481	59.166282	37.193411	84.996248	17.907938	50.002058	55.376856	70.872902	35.54037
CULTURE	1	20140815	1120000000	서울특별시	성동구			2608.759532	1509.73614	1099.023392	157.36878	142.040507	133.912385	88.274157	48.293191	34.73216	110.389654	73.90814	165.31876	124.23094	141.146823	120.854471	113.263005	44.917468	11.085699	157.36878	144.734973	127.047644	105.391288	39.661953	40.210536	63.163815	76.70323	65.891823	15.747909	58.333899	44.481434	42.222256	82.896404	35.167448
CULTURE	1	20140815	1147000000	서울특별시	양천구			2658.721093	1459.117044	1199.604049	144.020575	134.233081	119.106001	65.447876	32.280197	64.789781	125.277121	78.825866	118.007313	153.191935	99.051254	152.761831	65.492634	19.227407	87.404172	144.020575	135.177213	116.787634	74.710852	31.052825	85.036151	38.532443	43.253099	111.052213	94.697762	30.780078	5.278043	53.520352	124.088916	111.615893
CULTURE	1	20140815	1162000000	서울특별시	관악구			2550.268802	1355.592829	1194.675973	129.383289	125.973231	105.683385	100.890358	39.585091	52.600146	263.985861	112.749783	75.70329	72.577404	125.25333	71.071295	27.0626	30.065346	23.00842	129.383289	118.016428	100.53988	90.726491	8.572507	111.196312	106.384341	51.1414	117.940649	31.476731	47.418752	27.943532	68.400082	102.898504	82.637075
CULTURE	1	20140815	2600000000	부산광역시				2698.160531	1376.774632	1321.385899	127.19855	121.457736	94.21336	55.497151	88.787343	134.243621	172.313252	102.042158	105.235854	67.626662	7.474161	30.505995	64.46105	106.713836	99.003903	127.19855	113.786989	85.719697	43.173014	102.620158	142.041724	148.938539	118.108602	93.176225	43.311472	30.634657	14.615891	81.605121	90.343698	86.111562
CULTURE	1	20140815	1117000000	서울특별시	용산구			2575.907855	1368.855807	1207.052048	139.997042	129.405002	128.098542	103.664509	17.65412	96.623304	208.309402	86.765472	162.99361	74.013995	60.744252	73.636093	37.99458	40.7601	8.195784	139.997042	134.080184	97.931203	81.649045	17.772889	43.587523	128.356235	96.914827	104.915544	18.106163	94.992928	11.823639	71.391718	96.700323	68.832785
CULTURE	1	20140815	1130500000	서울특별시	강북구			2531.861163	1453.500994	1078.360169	143.377783	141.81392	120.363485	93.090155	0.378581	66.301883	59.369865	78.003128	179.609868	55.698669	149.075717	176.204859	112.275022	56.907612	21.030447	143.377783	139.939502	105.14632	95.419313	9.359518	68.686496	56.186682	86.876111	97.545871	13.829282	2.463732	23.847619	36.569258	98.935232	100.17745
CULTURE	1	20140815	1132000000	서울특별시	도봉구			2493.968856	1567.67366	926.295196	135.811393	134.9173	130.183864	92.516232	7.422378	118.111148	73.711518	66.095946	112.536212	116.343998	151.897363	223.740401	125.916058	33.940138	44.529711	135.811393	133.581419	103.792329	72.141421	6.756893	70.061515	60.983837	26.808428	14.070226	15.111581	20.381473	9.852208	60.7391	107.631671	88.571702
CULTURE	1	20140815	1159000000	서울특별시	동작구			2578.426541	1331.468644	1246.957897	144.281311	140.492459	120.444538	106.734127	6.134982	37.333279	189.262837	134.808043	99.172352	86.440444	103.291164	82.537812	42.976734	15.988274	21.570288	144.281311	132.482393	97.097017	96.653278	3.843466	138.949611	92.743818	82.515056	93.984014	30.313093	52.761758	3.786577	71.542176	101.181695	104.822634
CULTURE	1	20140815	1156000000	서울특별시	영등포구			2595.071494	1497.705347	1097.366147	137.756451	132.08442	115.302338	90.095784	34.85755	104.803693	172.8235	143.114979	174.795895	88.567641	113.072156	92.947029	20.982431	39.838686	36.662794	137.756451	131.950698	111.045528	81.058421	11.166511	96.122921	82.461013	97.928166	46.255846	24.938367	25.751841	12.970269	36.161338	108.549388	93.249389
CULTURE	1	20140815	1174000000	서울특별시	강동구			2593.961209	1546.28453	1047.676679	132.528043	129.150183	102.675371	97.541472	19.553929	119.178415	129.613986	79.427048	114.41362	153.538627	98.094754	204.967097	88.911898	6.741924	69.948163	132.528043	127.505994	108.648142	95.080779	9.107172	60.804082	70.523816	46.174146	89.336927	19.101311	13.335088	22.72524	58.897417	95.919652	97.98887
CULTURE	1	20140815	4800000000	경상남도				2598.063547	1447.248008	1150.815539	118.587104	117.133983	65.496301	5.492796	152.129281	196.023906	175.057449	58.52755	131.671418	124.405814	0.724484	49.833736	77.692136	85.071913	89.400137	118.587104	107.678319	73.613018	12.74802	111.908976	134.722972	48.999229	42.709293	76.546246	45.605155	33.185125	65.869961	84.563321	106.847965	87.230835
CULTURE	1	20140815	1153000000	서울특별시	구로구			2667.498463	1311.002945	1356.495518	132.570601	122.580837	104.073483	92.658279	31.527931	8.664806	115.011984	138.473324	161.67762	115.71302	89.891522	89.272274	29.859464	27.590444	51.437356	132.570601	129.83656	92.085766	102.239106	4.035631	105.162427	140.050656	124.522707	92.333465	86.398027	36.717935	26.760885	85.402555	104.026748	94.352449
CULTURE	1	20140815	2700000000	대구광역시				2551.044009	1473.370247	1077.673762	118.048071	116.039911	84.512963	39.648582	190.233486	216.46725	163.547015	46.446919	141.608159	67.00444	16.87009	24.732481	90.491011	83.537902	74.181967	118.048071	104.513306	66.311837	44.233687	47.42198	103.650455	70.057308	34.386351	141.538511	36.290041	10.884304	42.364821	92.197366	86.405044	79.37068
CULTURE	1	20140815	4700000000	경상북도				2490.453714	1442.305899	1048.147815	119.786313	116.057658	90.447685	37.498331	147.327664	244.665183	181.14313	62.63568	147.572969	27.115335	6.675601	24.515089	71.62043	101.560058	63.684773	119.786313	108.440899	48.733357	10.692081	112.445115	112.334726	60.440189	39.441974	34.315074	40.582648	20.682588	68.701286	87.626663	91.588359	92.336543
CULTURE	1	20140815	4400000000	충청남도				2675.269364	1440.32745	1234.941914	119.572029	104.250813	85.092811	16.549161	93.797302	171.207035	162.068746	159.139309	163.598276	52.059299	9.66023	21.857578	88.359263	104.652638	88.46296	119.572029	112.546564	40.917932	44.702869	88.093972	103.544809	83.116521	70.750665	101.911583	56.829356	50.069183	70.821525	82.007828	108.8394	101.217678
CULTURE	1	20140815	2900000000	광주광역시				2526.25782	1436.648499	1089.609321	119.168139	116.429937	69.237862	27.284694	42.078437	227.451925	160.435825	94.034425	200.139756	45.249721	40.695365	41.520551	87.84646	76.907622	88.16778	119.168139	105.658744	61.414427	42.358776	49.343054	158.004973	74.727305	20.410317	90.388145	24.601442	35.568221	33.683146	103.84259	106.594762	63.84528
CULTURE	1	20140815	4500000000	전라북도				2555.834485	1504.709104	1051.125381	121.010558	118.121661	90.572895	46.911825	111.605262	202.739556	183.21716	131.038309	175.994916	74.168722	5.937131	1.871827	76.03906	78.555677	86.924545	121.010558	104.525973	80.044799	33.390593	52.516881	100.89847	66.11257	100.704884	61.24314	6.526824	9.868415	68.533883	76.560253	110.81007	58.378068
CULTURE	1	20140815	4600000000	전라남도				2606.577984	1460.710207	1145.867777	128.14706	119.539137	87.804703	18.00893	112.042307	177.72559	114.756217	158.944667	119.118452	113.607384	75.246348	29.56386	76.166525	82.410183	47.628844	128.14706	125.866043	100.658314	14.529131	172.38102	81.756402	17.821343	48.54014	99.355193	11.993929	11.415627	68.124693	97.56146	92.216888	75.500534
