EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM	SUM	TIME_0	TIME_1	TIME_2	TIME_3	TIME_4	TIME_5	TIME_6	TIME_7	TIME_8	TIME_9	TIME_10	TIME_11	TIME_12	TIME_13	TIME_14	TIME_15	TIME_16	TIME_17	TIME_18	TIME_19	TIME_20	TIME_21	TIME_22	TIME_23
CULTURE	1	20140815	4100000000	경기도	9901.375204	300.759787	439.356953	517.460695	568.561194	579.698163	545.007535	349.962223	375.567965	323.214924	171.186352	27.850822	161.830989	267.714865	390.019939	628.691275	832.178216	1024.994776	1010.951821	421.680006	212.625714	0.650525	137.79583	264.001221	349.613414
CULTURE	1	20140815	1168000000	서울특별시 강남구	9814.749515	170.614204	335.869984	434.194315	521.925692	632.815752	540.95298	324.748099	424.444795	332.796456	265.035867	75.120379	250.45924	303.852868	564.245086	644.342676	894.184828	1092.134377	911.339407	225.070463	21.745812	52.962381	218.847163	256.744487	320.302204
CULTURE	1	20140815	2800000000	인천광역시	9667.714796	348.561979	405.136654	514.392011	538.967701	524.474044	517.568381	333.597748	354.726489	281.081767	176.120392	79.570514	77.459797	223.349285	348.086504	638.547875	842.459051	1138.284959	1017.053511	361.403728	178.586	8.626687	107.169639	300.739967	351.750113
CULTURE	1	20140815	1114000000	서울특별시 중구	10307.7883	72.310676	420.21172	544.445407	589.27621	684.680362	625.405593	484.625582	498.018371	289.554166	74.06264	230.292374	388.80615	583.663437	537.664659	771.882729	694.504336	844.90068	686.328506	320.537967	95.31331	36.745815	111.866122	295.900168	426.791317
CULTURE	1	20140815	1111000000	서울특별시 종로구	10197.00609	293.731573	567.271876	602.53542	652.067245	633.090077	622.734066	484.636221	459.764093	280.932606	10.080145	52.796477	297.286842	406.936637	577.501018	674.015497	704.995016	748.89742	890.128622	407.874874	255.685773	72.304722	61.880852	158.66087	281.198145
CULTURE	1	20140815	1129000000	서울특별시 성북구	10104.71966	315.43886	480.538623	527.72106	602.003354	599.095644	611.404949	398.211666	447.584578	371.577044	99.84187	9.875713	134.015537	410.49997	496.626335	530.297614	791.623187	999.892748	863.986392	443.609093	295.684203	76.249036	40.505205	234.139294	324.297682
CULTURE	1	20140815	1135000000	서울특별시 노원구	9674.779903	152.445353	395.190622	462.800467	566.211021	640.363755	648.820129	471.956395	476.935574	363.23746	136.993437	116.582918	194.965553	141.161614	384.359535	638.174219	968.507775	941.101715	890.69267	508.653837	127.088231	41.660332	1.02447	177.073772	228.779049
CULTURE	1	20140815	1144000000	서울특별시 마포구	9944.258465	266.41435	439.555898	489.14397	580.307986	558.65819	590.706707	308.085	460.580634	355.930481	130.530152	5.543459	255.643119	292.995174	422.174186	696.689058	827.724309	1066.553952	860.663063	429.959021	76.913916	37.269976	171.272682	258.250691	362.692491
CULTURE	1	20140815	1138000000	서울특별시 은평구	9976.049361	91.244089	321.319715	488.109233	638.816367	721.950269	654.308988	362.852641	389.91369	301.857535	101.859823	61.98088	230.902618	415.634541	493.710091	619.397663	651.358282	1040.737973	933.877451	336.334098	204.091084	51.548501	210.852565	274.841853	378.549411
CULTURE	1	20140815	1171000000	서울특별시 송파구	9612.683483	249.764837	379.85091	502.941017	536.579946	551.465804	530.069813	433.719836	411.604815	342.053268	135.86665	50.729649	110.410732	252.914641	468.429212	643.25059	649.508092	1116.449852	1129.256353	346.796597	89.325672	78.363709	119.717632	201.47325	282.140606
CULTURE	1	20140815	1141000000	서울특별시 서대문구	10005.94135	218.131235	386.013697	565.118011	687.133382	665.446708	634.497554	360.386016	511.658357	345.601672	62.004998	57.694753	348.639068	401.319427	389.696795	675.854011	758.214386	841.910696	950.789375	374.934716	127.497342	76.420104	57.66321	146.124354	363.191479
CULTURE	1	20140815	1150000000	서울특별시 강서구	9968.065598	143.42346	377.566423	541.875975	533.168383	665.55832	630.604614	365.504064	498.831362	365.208055	146.45755	69.939274	325.355814	298.468348	478.466368	421.682012	759.576061	859.750373	1118.14139	553.97328	168.619153	88.29182	104.300963	200.059811	253.242725
CULTURE	1	20140815	1123000000	서울특별시 동대문구	10054.06494	311.251239	443.175483	532.693726	585.03513	612.077359	569.845665	428.982048	439.863681	313.716415	46.854936	79.317231	236.590451	331.985275	412.763351	680.122845	755.447653	926.740003	985.480903	402.554038	179.667307	36.363414	47.801165	288.267835	407.467788
CULTURE	1	20140815	1126000000	서울특별시 중랑구	9928.32495	293.357808	426.685907	468.955233	581.106874	709.725997	612.063513	461.404154	369.286558	230.7758	60.751127	32.748047	355.477743	333.744009	446.42506	541.997762	748.914055	998.21113	975.000616	385.124785	179.267315	85.88424	16.614929	200.571482	414.230806
CULTURE	1	20140815	1132000000	서울특별시 도봉구	10002.32095	116.029436	202.948971	492.817478	603.421035	713.708179	693.106245	562.74452	564.115639	381.545941	256.528062	36.539721	303.415626	361.565112	480.571164	740.064123	692.356232	949.634308	782.814894	386.210088	151.959771	57.786198	125.287415	128.73279	218.418
CULTURE	1	20140815	1120000000	서울특별시 성동구	10049.01613	319.722428	425.368355	531.43496	531.687366	630.097655	515.252931	333.632802	449.59933	272.354238	176.608234	37.28013	167.308943	302.177875	454.042143	605.205283	913.392991	1023.357865	861.341268	463.970112	187.473377	46.238206	144.833125	242.570332	414.066176
CULTURE	1	20140815	1156000000	서울특별시 영등포구	10250.87577	291.684885	453.936698	519.65497	594.59686	608.275066	601.226335	372.181908	379.518877	407.50417	124.375805	52.52374	517.320679	380.564831	561.368692	587.388726	878.692569	898.056925	820.887741	311.728347	116.905636	31.589361	143.189888	320.299061	277.404001
CULTURE	1	20140815	1165000000	서울특별시 서초구	9819.185458	216.689339	440.239471	457.323451	585.383855	586.772797	523.599108	399.960168	394.172911	311.831831	109.046374	57.586093	281.408225	328.817427	421.112589	497.75901	872.703762	1071.41499	1011.412718	319.372625	105.591382	61.243638	120.574589	207.036196	438.132909
CULTURE	1	20140815	1121500000	서울특별시 광진구	10146.99889	296.04742	405.49546	519.759665	572.681144	620.701965	616.280106	474.273668	404.087225	333.590971	37.777083	40.4363	219.085019	354.951552	457.161263	513.265354	745.398846	867.80265	1066.983438	480.340815	242.433559	85.640651	122.749995	301.821184	368.233557
