EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
DRUM	1	20140829	4100000000	경기도				2539.547763	1559.653328	979.894435	112.437775	110.340486	104.769876	93.957298	36.251333	63.652952	138.625174	171.157402	214.986806	181.01374	130.054973	90.94363	14.111612	44.976657	52.373614	112.437775	111.172126	103.47914	78.718923	36.631544	103.834682	65.998186	29.94539	27.015625	1.802165	20.25198	43.893727	78.291187	87.415814	79.006171
DRUM	1	20140829	1114000000	서울특별시	중구			2391.547101	1470.846415	920.700686	98.476248	97.626744	93.519039	93.158	75.452925	32.363616	82.176041	163.473551	285.759621	187.079138	127.059926	78.808111	1.728386	25.762264	28.402805	98.476248	96.497612	92.835896	81.808276	59.020337	0.834283	74.082746	97.79806	76.569314	19.693267	2.439491	25.295037	54.459563	70.408997	70.481559
DRUM	1	20140829	1168000000	서울특별시	강남구			2445.997971	1587.75245	858.245521	114.708822	111.93737	109.429217	91.204823	82.259457	25.116707	134.508473	146.359209	218.746078	188.854802	158.032902	127.258663	46.178378	19.818944	13.338605	114.708822	112.638745	103.026052	93.109203	55.221346	22.016132	63.828508	69.564347	40.015813	3.24698	4.3887	0.684352	48.999766	69.382761	57.413994
DRUM	1	20140829	1129000000	서울특별시	성북구			2549.915398	1548.824558	1001.09084	131.954174	129.697705	121.86884	115.746229	58.172612	43.084609	125.113552	159.595676	181.320409	135.816414	107.073505	145.620788	52.010978	20.601865	21.147202	131.954174	128.696781	115.690622	95.727749	2.770589	68.417937	99.429022	50.30765	47.989722	34.857716	3.717857	1.740398	58.763801	81.308004	79.718818
DRUM	1	20140829	1135000000	서울특별시	노원구			2465.757194	1580.81797	884.939224	114.79092	113.629098	111.761223	101.036096	60.48821	27.467849	86.691842	86.359891	159.847171	205.503388	166.217437	194.293511	107.359644	18.249666	27.122024	114.76721	112.620077	107.324693	96.844576	0.569407	64.22993	69.446278	9.418758	22.536029	14.687796	10.179431	25.702018	70.662723	86.830768	79.11953
DRUM	1	20140829	1111000000	서울특별시	종로구			2489.306141	1484.111883	1005.194258	127.036665	124.859135	115.061761	98.209311	56.416444	27.226673	98.091526	146.450203	220.132859	170.979879	161.203646	103.13518	9.105759	25.616932	0.58591	127.036665	119.730916	113.313093	98.173069	28.96326	29.56125	69.844042	73.576949	55.522479	41.324743	20.21086	17.701112	63.981926	66.757446	79.496448
DRUM	1	20140829	1138000000	서울특별시	은평구			2637.647169	1510.54339	1127.103779	128.20571	127.311469	125.026866	107.59835	54.33281	13.990894	132.585043	133.509908	143.597684	139.083604	154.656262	108.370093	108.584465	25.205659	8.484573	128.159773	126.337604	126.959285	91.796005	23.686673	51.365277	70.851773	66.104944	81.830728	70.150469	18.936783	16.523556	77.797455	93.449739	83.153715
DRUM	1	20140829	2800000000	인천광역시				2523.000759	1410.858063	1112.142696	107.980792	106.010745	105.199854	90.351724	27.520717	105.005275	203.174987	163.298415	171.150016	98.679292	77.689705	18.245206	14.36714	58.817966	63.366229	107.980792	104.734632	101.717184	77.74134	82.388713	169.460662	134.368863	38.039247	0.368886	1.79834	15.206619	37.625658	83.745047	83.622894	73.343819
DRUM	1	20140829	1171000000	서울특별시	송파구			2472.774874	1579.958964	892.81591	111.209184	109.907384	106.024046	96.318459	71.016084	26.591395	147.741613	137.682996	231.208558	141.152626	167.982961	140.11284	62.658449	6.791337	23.561032	111.209184	108.395971	107.502362	90.41071	51.999312	28.174518	92.313031	41.821363	12.155749	4.356712	25.177251	16.492143	52.771567	77.461653	72.574384
DRUM	1	20140829	1144000000	서울특별시	마포구			2574.140261	1435.859937	1138.280324	120.244765	119.343634	116.513663	104.38306	78.699333	44.433067	121.894125	155.208828	218.767161	153.216697	83.139486	67.455597	27.989696	12.214588	12.356237	120.244765	118.764982	110.932078	95.73944	44.727617	66.931193	114.317395	100.007805	90.924168	31.50079	11.284123	11.654018	57.479066	80.227337	83.545547
DRUM	1	20140829	1141000000	서울특별시	서대문구			2646.701039	1447.671144	1199.029895	132.887509	131.175248	117.74568	107.831304	72.271371	24.288302	135.655026	134.811101	177.028277	140.997559	92.883369	81.256731	58.463781	10.290306	30.08558	132.887509	127.851857	114.251412	98.924756	5.963971	75.20279	70.955266	84.154673	118.396408	53.201454	56.270272	9.495203	66.043064	98.35284	87.07842
DRUM	1	20140829	1165000000	서울특별시	서초구			2477.058734	1473.640756	1003.417978	109.304088	109.013362	106.281166	98.772317	78.262092	2.462728	116.977369	157.741481	222.535786	187.501782	145.881125	74.937815	8.155323	36.4695	19.344822	109.304088	109.304088	99.872698	95.543074	52.262467	32.657555	117.483795	78.092033	71.968037	14.595053	7.539485	6.496624	53.24093	73.716768	81.341283
DRUM	1	20140829	1123000000	서울특별시	동대문구			2452.125881	1644.983698	807.142183	131.112335	125.842449	128.037909	116.798872	70.467631	41.469586	128.819212	97.477259	181.232895	131.971768	116.888721	202.042888	108.888184	29.04297	34.891019	131.112335	129.12392	127.233168	108.325646	6.307066	29.054689	57.669894	3.181854	41.262542	0.384791	11.604296	21.784668	32.218964	66.533772	41.344578
