EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM	SUM	TIME_0	TIME_1	TIME_2	TIME_3	TIME_4	TIME_5	TIME_6	TIME_7	TIME_8	TIME_9	TIME_10	TIME_11	TIME_12	TIME_13	TIME_14	TIME_15	TIME_16	TIME_17	TIME_18	TIME_19	TIME_20	TIME_21	TIME_22	TIME_23
DRUM	1	20140829	4100000000	경기도	10846.20228	499.492218	577.781089	616.440118	630.815628	630.07983	614.693971	563.302348	396.623311	162.345335	156.946923	336.075217	571.666647	437.905221	528.825652	588.005748	648.986901	588.19464	552.68746	663.702855	325.892656	24.211221	118.463241	237.598767	375.465285
DRUM	1	20140829	1114000000	서울특별시 중구	11060.98262	444.271716	544.268708	583.92735	562.155406	561.832935	564.24106	545.418158	369.266171	104.216411	283.897367	499.598773	705.828915	407.720751	599.736195	601.067685	596.365861	565.044635	594.462246	563.395876	113.373006	152.925026	263.282675	365.13127	469.554426
DRUM	1	20140829	1168000000	서울특별시 강남구	10998.85812	483.732763	560.216518	585.057129	588.711076	592.780245	583.915271	555.441473	394.771609	167.437971	255.558302	335.000509	680.641062	487.033772	599.070847	623.901078	622.271334	608.465228	580.157519	514.334569	192.99484	85.815853	191.05368	283.45079	427.044681
DRUM	1	20140829	1111000000	서울특별시 종로구	10847.5503	491.602474	586.851608	619.428595	625.765686	625.874115	622.874237	532.35985	392.088453	141.881773	172.58735	347.736846	587.3295	418.842384	615.6416	555.945236	536.199052	560.161931	602.858988	688.180815	338.291447	1.405565	129.231686	260.419116	393.99199
DRUM	1	20140829	1135000000	서울특별시 노원구	10873.38649	437.143251	562.3095	595.879257	633.212686	641.374203	626.071358	580.893497	389.483848	129.280325	226.269577	394.780103	645.553764	392.781083	566.654498	575.367469	619.221841	526.894671	556.356096	658.898949	273.915194	10.069778	147.602381	263.752359	419.620804
DRUM	1	20140829	1129000000	서울특별시 성북구	10835.40263	469.473907	552.275703	609.50055	625.181574	619.559818	609.745566	589.096163	424.962667	158.330813	134.368021	337.377388	626.006235	451.364276	505.036391	633.220595	589.498851	588.491563	514.101983	669.251558	368.984452	10.34115	129.037789	212.316005	407.879608
DRUM	1	20140829	1144000000	서울특별시 마포구	10933.61614	496.095187	571.657408	603.909249	605.90407	621.300341	617.310699	535.643522	379.445005	150.147671	183.723814	383.687905	619.920255	407.880132	575.980636	620.910971	632.73263	567.077575	544.585631	621.272449	309.036072	27.285428	157.136239	301.887963	399.085291
DRUM	1	20140829	1171000000	서울특별시 송파구	10925.04913	474.722438	570.467247	612.925817	626.779946	629.67418	618.640829	562.871718	342.586667	152.595586	235.290629	453.29849	691.786367	497.049916	602.109166	581.408777	593.485228	476.819656	470.634515	628.465801	232.176021	63.417898	141.106796	259.887951	406.847492
DRUM	1	20140829	2800000000	인천광역시	10808.65007	471.400351	579.601778	600.313284	631.180731	616.394673	620.831869	563.327468	377.833402	178.393864	96.546898	313.087553	666.285563	517.584391	549.595588	584.85889	629.75449	581.909947	517.060747	640.489196	280.332231	26.81954	166.515409	216.950613	381.581592
DRUM	1	20140829	1138000000	서울특별시 은평구	10895.00305	446.244964	566.159149	623.012074	640.31836	644.704199	619.367086	550.290115	386.813876	213.306512	180.455932	398.636628	614.683672	548.288582	556.06752	561.816526	610.964598	640.257857	490.561452	574.959227	255.385628	15.423906	147.237396	225.841715	384.20608
