EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
HISEOUL	1	20140917	4100000000	경기도				2498.552326	1544.299037	954.253289	108.385795	106.901349	102.194843	92.424939	42.572998	50.889298	136.768542	163.384617	234.368102	189.502159	132.370746	81.685241	15.025942	39.52336	48.301106	108.385795	106.470626	100.906465	82.765448	25.919608	102.397884	66.561295	26.022661	24.380067	4.329399	21.231333	42.785125	75.891048	87.262949	78.943586
HISEOUL	1	20140917	1111000000	서울특별시	종로구			2544.109719	1434.032873	1110.076846	127.068104	123.542482	112.353324	88.320281	59.067387	5.998056	90.169669	135.660394	231.232945	159.291825	121.43501	110.89655	8.939915	40.60972	19.447211	127.068104	122.616362	113.983911	84.106653	33.799882	33.799224	83.014182	81.946511	104.145966	67.411687	35.000766	3.11216	61.662499	78.71672	79.692219
HISEOUL	1	20140917	1138000000	서울특별시	은평구			2556.924609	1526.741555	1030.183054	130.091479	128.698868	121.174859	107.784581	72.257643	0.17396	141.77053	131.437577	142.357993	123.88008	139.755569	160.830328	96.627876	28.731795	1.168417	130.226833	129.554249	124.198696	95.357129	11.598117	61.486069	90.154605	68.576107	50.860081	22.139915	18.662573	0.022791	53.386224	90.76207	83.197595
HISEOUL	1	20140917	1129000000	서울특별시	성북구			2593.149051	1542.305158	1050.843893	125.457522	123.99113	118.572232	102.732044	56.910543	14.201544	124.904764	157.492837	195.61327	146.699564	109.677847	122.275026	71.146652	32.843818	39.786365	125.457522	122.395478	121.832476	95.191834	3.910952	77.560858	88.430252	58.526494	43.750553	29.072276	20.467818	17.458723	69.638418	91.187623	85.962616
HISEOUL	1	20140917	1141000000	서울특별시	서대문구			2602.255358	1424.591401	1177.663957	133.876591	130.734881	125.572615	105.274005	61.961518	13.495345	130.917139	117.976583	174.496347	141.641752	120.760082	123.058214	32.288228	9.537142	3.000959	133.876591	130.147167	118.83329	88.942076	5.309945	84.555984	79.117693	68.422544	82.4734	57.012523	65.925924	8.985921	63.622313	94.18808	96.250506
HISEOUL	1	20140917	1168000000	서울특별시	강남구			2466.268737	1515.33689	950.931847	106.423689	105.548322	104.110683	99.810813	62.40873	10.726888	134.772129	157.501688	211.837119	208.723104	150.203913	91.256821	19.270531	19.660511	33.081949	106.423689	106.260618	99.677747	95.910143	47.438765	43.131155	80.87634	83.642033	35.318072	5.684717	0.189859	17.657992	66.918636	83.293626	78.508455
HISEOUL	1	20140917	1144000000	서울특별시	마포구			2510.019016	1448.827396	1061.19162	116.580565	115.656258	110.654992	107.846748	73.273548	19.261643	118.773291	165.951212	246.523399	143.675121	102.907004	80.407196	21.67691	5.520968	20.118541	116.580565	114.600958	112.764119	89.03092	45.298545	73.301218	83.57751	81.421284	82.609048	25.176914	9.747758	6.986907	61.025009	81.715943	77.354922
HISEOUL	1	20140917	1114000000	서울특별시	중구			2383.564748	1479.372508	904.19224	95.169612	95.07462	92.682772	88.606644	76.704643	13.860175	93.581785	182.98624	283.059019	190.338372	121.672604	63.494919	6.102744	41.916893	34.121466	95.169612	94.298853	91.973986	74.248249	58.986212	3.332146	78.815412	90.779524	62.641209	14.9784	3.861666	29.799333	63.78574	71.388748	70.13315
HISEOUL	1	20140917	2800000000	인천광역시				2572.142716	1436.684704	1135.458012	107.521805	104.340581	105.049181	85.449069	28.478538	112.405762	196.425673	158.929678	173.645831	105.236048	88.721486	34.872381	14.251229	56.749281	64.608161	107.521805	104.620134	101.543555	80.641354	73.565821	171.279348	122.930115	42.661	5.398215	5.069329	33.827421	42.124318	73.132289	90.413753	80.729555
HISEOUL	1	20140917	1135000000	서울특별시	노원구			2505.981625	1607.214472	898.767153	109.391153	108.987248	106.915506	95.721342	56.514891	21.84426	115.72535	88.387262	181.227107	190.443211	146.455934	200.017147	105.991694	24.93114	54.661227	109.391153	109.225291	105.18931	92.049337	2.688709	66.585594	67.574625	15.630569	15.220521	10.267691	17.723095	43.055479	69.720902	89.079174	85.365703
