EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM	SUM	TIME_0	TIME_1	TIME_2	TIME_3	TIME_4	TIME_5	TIME_6	TIME_7	TIME_8	TIME_9	TIME_10	TIME_11	TIME_12	TIME_13	TIME_14	TIME_15	TIME_16	TIME_17	TIME_18	TIME_19	TIME_20	TIME_21	TIME_22	TIME_23
HISEOUL	1	20140917	4100000000	경기도	10848.15857	508.870497	560.770137	590.191355	609.355843	612.446889	603.1987	550.285529	355.003473	133.814843	145.552549	369.567753	639.141379	448.059818	581.659004	609.680795	606.995605	582.308262	570.619394	682.495869	187.998854	72.686974	169.603339	260.056506	397.795199
HISEOUL	1	20140917	1111000000	서울특별시 종로구	10822.34445	533.86251	582.20845	608.92056	627.315222	629.487598	606.947437	537.85284	352.287518	91.974486	234.89753	412.965334	599.824913	352.472076	488.503	532.520057	566.706763	630.268149	592.621865	752.771096	247.621445	37.733861	172.124923	226.056971	404.39985
HISEOUL	1	20140917	1114000000	서울특별시 중구	10973.83477	507.477341	557.925277	574.246224	595.80269	601.107941	586.343702	538.223292	328.712081	64.246769	276.408721	447.940748	704.360549	419.156703	596.031674	549.571628	563.595204	565.310223	567.29286	649.481834	147.767239	114.988708	243.662229	322.547437	451.633693
HISEOUL	1	20140917	1168000000	서울특별시 강남구	10884.19795	519.974685	560.306429	577.774197	585.554261	593.857611	585.421363	546.089122	389.953471	174.5592	157.649557	352.591395	662.949522	436.139875	626.845593	601.567305	616.183305	565.286178	538.665067	697.555582	186.665598	85.290573	152.47323	255.47464	415.370194
HISEOUL	1	20140917	1138000000	서울특별시 은평구	10795.57928	479.265677	570.051026	624.810655	652.17044	661.570776	630.34537	567.283668	331.554215	103.669502	236.224757	368.133239	521.339358	366.494189	573.445128	521.756632	606.109293	595.47049	570.27385	741.602989	296.939713	65.063362	110.419317	198.480705	403.104927
HISEOUL	1	20140917	1141000000	서울특별시 서대문구	10622.38658	521.298569	611.153862	630.06982	675.324409	679.944717	645.80258	565.795082	292.708286	65.03416	222.678822	371.663998	514.031284	384.166854	532.724491	531.362829	520.857556	567.279797	555.38412	793.534776	300.940231	16.568529	77.274743	175.799401	370.987659
HISEOUL	1	20140917	1144000000	서울특별시 마포구	10895.79939	499.414874	573.179227	591.214008	617.6174	615.359775	608.429622	561.989405	329.585165	97.708469	237.29808	397.045481	564.342326	387.975664	587.524753	568.772381	647.192879	568.071174	556.262062	726.026238	207.388654	97.200585	170.611058	265.7655	419.824605
HISEOUL	1	20140917	1129000000	서울특별시 성북구	10666.91608	497.922103	579.083451	615.540752	645.291756	654.985904	642.279782	570.612703	358.330513	103.684244	153.512209	346.033914	544.238395	401.079993	576.567154	569.512792	581.495213	599.815188	547.491603	740.6095	273.102081	10.474998	73.405972	211.853425	369.992439
HISEOUL	1	20140917	1135000000	서울특별시 노원구	10822.85576	478.101958	563.215449	576.234064	619.752889	649.68425	642.709174	587.01928	389.346309	117.96736	201.393394	448.376756	656.624966	427.333177	572.507915	562.738227	605.462954	574.122834	514.225751	653.818901	194.823002	34.094646	149.200583	227.770406	376.331511
HISEOUL	1	20140917	2800000000	인천광역시	10899.66798	497.688565	556.526698	589.187793	606.864392	608.963444	608.26975	545.60013	347.387148	114.604516	186.889697	375.132185	569.765278	454.464822	591.575284	606.300991	594.105647	612.943195	583.592419	706.577416	168.487055	100.831289	199.087737	282.291398	392.531128
