EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
KIMJANG	1	20141031	4100000000	경기도				2500.744824	1583.945844	916.79898	116.601266	114.931997	98.822173	85.902187	40.73804	59.127833	131.070938	157.215409	219.924144	188.291889	153.423666	100.793771	16.859344	45.879068	54.364119	116.595783	114.50847	98.765402	73.848286	24.306706	92.149374	53.479089	26.381439	27.348809	1.581328	11.837256	34.591902	74.462126	86.16669	80.77632
KIMJANG	1	20141031	1111000000	서울특별시	종로구			2537.311427	1452.217503	1085.093924	127.465549	122.831479	113.090508	93.248531	71.091838	8.330148	72.301631	109.656959	231.644704	179.659376	141.45264	116.866885	8.696362	44.338161	11.542732	127.465549	119.555645	107.60194	84.814803	44.291805	26.850974	54.032673	73.571789	102.530475	63.96525	65.493459	13.602388	58.595766	70.379499	72.341909
KIMJANG	1	20141031	1168000000	서울특별시	강남구			2418.48993	1547.011597	871.478333	121.882222	118.168341	108.342323	104.488295	76.870683	5.365507	105.431831	137.605955	195.919144	219.779079	171.200813	99.04816	61.553727	8.515999	12.839518	121.882222	119.037249	109.423202	97.232212	54.83966	8.003764	49.933833	75.380927	47.011779	14.891963	14.895467	3.223018	39.560192	61.717347	54.445498
KIMJANG	1	20141031	1138000000	서울특별시	은평구			2601.294161	1540.422699	1060.871462	131.797505	129.635746	125.071134	108.172139	62.159302	8.870773	119.521608	149.836876	147.014637	131.570321	147.94863	141.453224	87.59363	29.501689	20.275485	131.797505	127.95618	125.075186	96.356417	16.859623	33.652995	91.690233	60.137068	65.133222	53.789563	28.705465	4.227146	49.674995	90.383723	85.432141
KIMJANG	1	20141031	1129000000	서울특별시	성북구			2556.050195	1568.901445	987.14875	128.460659	125.390991	117.706879	109.364697	58.492495	20.281085	115.003424	145.857171	201.471056	161.205514	114.420902	144.381981	74.405864	22.553515	29.905212	128.460659	125.740901	117.5359	96.412047	19.771727	45.488552	79.918941	40.273694	39.903902	41.335354	16.962901	14.561243	61.591985	82.252604	76.93834
KIMJANG	1	20141031	1141000000	서울특별시	서대문구			2615.923354	1499.351161	1116.572193	135.688927	131.671596	125.224139	110.582852	55.270577	32.810292	130.78877	107.85053	173.838322	152.312425	124.75829	128.625419	47.261025	3.303089	39.364908	135.688927	133.787868	117.261216	95.490961	6.44387	67.587551	73.880323	79.686622	78.068031	47.67576	57.788583	5.029734	49.448586	92.738014	75.996147
KIMJANG	1	20141031	1114000000	서울특별시	중구			2418.724745	1517.468292	901.256453	103.485955	102.678365	98.28775	93.846	86.477174	26.227014	81.923161	165.360701	272.467004	184.263266	135.151865	101.751457	14.829638	21.182216	29.536726	103.485955	101.761449	98.769131	82.411007	62.496309	9.232927	74.356845	86.183291	63.263932	10.334989	10.243297	23.153584	49.740605	64.874999	60.948133
KIMJANG	1	20141031	1144000000	서울특별시	마포구			2537.070297	1435.676914	1101.393383	117.851047	116.695519	113.084752	101.9829	73.859462	25.90467	154.862097	147.515191	227.896529	139.865298	83.783496	88.7483	1.109907	18.394081	24.123665	117.928361	115.615214	108.21189	95.014205	40.881967	52.857953	114.224261	89.009495	87.634562	49.876146	5.247243	6.590136	53.707709	83.626083	80.968158
KIMJANG	1	20141031	1135000000	서울특별시	노원구			2390.765612	1580.6964	810.069212	111.694262	109.423081	107.826789	98.265199	65.042112	25.055459	92.206832	68.213951	152.50223	203.20573	177.608474	224.018149	113.112201	7.381067	25.140864	111.322467	109.057348	106.818498	91.035409	16.395607	59.062548	34.231109	3.722257	27.843919	9.935135	1.006001	19.432603	64.991596	82.429575	72.78514
KIMJANG	1	20141031	2800000000	인천광역시				2528.722206	1445.523189	1083.199017	111.843849	110.198221	84.024096	73.311711	12.899673	132.025164	239.989742	135.857939	150.936189	93.86387	92.707085	43.774408	28.460446	67.447713	68.183083	111.843849	108.447239	86.955042	72.978793	54.649039	176.669936	103.832457	32.716462	7.338813	1.163248	27.320516	52.767699	75.010016	89.296006	82.209902
