EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
KIMJANG	1	20151023	4100000000	경기도		2540.581818	1559.53478	981.047038	114.587483	112.406816	98.430824	63.602629	50.018745	53.912073	132.931459	161.477337	222.870808	205.568209	124.080953	52.8676	25.708659	74.485329	66.585856	114.587483	112.839051	88.172973	42.45348	44.925705	108.138692	72.61571	45.895655	36.949989	8.056718	19.056592	38.722153	74.073158	91.544294	83.015385
KIMJANG	1	20151023	1111000000	서울특별시	종로구	2535.142637	1443.075287	1092.06735	140.376217	127.790704	105.920322	88.684497	74.859602	20.752136	56.950869	77.006814	186.862878	212.257098	147.601749	119.565962	19.299363	53.924009	11.223067	140.494378	126.475172	106.587278	64.739725	31.465446	16.76808	45.746533	88.696926	118.226799	94.925351	59.639699	24.023197	45.487278	74.633782	54.157706
KIMJANG	1	20151023	1138000000	서울특별시	은평구	2563.944289	1417.733984	1146.210305	135.501675	132.812984	126.64849	29.712178	53.858901	4.523572	161.423939	183.875059	154.053027	140.289579	109.96365	64.432456	3.195778	61.086366	56.35633	135.501675	133.813427	121.212258	74.011208	5.341091	76.121456	92.956118	81.877682	86.898288	58.635771	46.674592	17.051178	46.29305	91.518961	78.30355
KIMJANG	1	20151023	1141000000	서울특별시	서대문구	2668.636282	1413.040023	1255.596259	137.270971	131.271466	120.708793	83.075182	71.334172	31.003991	100.876281	119.82594	179.266484	160.582529	93.783156	72.149509	5.512896	67.614325	38.764328	137.270971	132.827178	115.737444	62.396526	11.827138	83.347559	63.797181	111.893346	122.040134	85.754293	65.029429	33.141171	49.966229	87.638348	92.929312
KIMJANG	1	20151023	1168000000	서울특별시	강남구	2511.847315	1497.743791	1014.103524	109.256041	109.227642	108.669114	99.555968	71.755824	13.339125	119.812734	162.027301	161.146911	231.344642	164.567496	70.334156	14.554002	21.3937	40.759135	109.256041	109.256041	100.373248	91.203303	39.9103	66.806283	90.182386	96.887869	42.865341	16.441003	5.614409	31.160039	55.274535	79.243876	79.62885
KIMJANG	1	20151023	1129000000	서울특별시	성북구	2569.686019	1485.191681	1084.494338	129.152498	125.939793	103.401377	82.652026	55.168938	44.554325	149.443037	145.442381	223.502727	176.739605	71.729084	51.817168	12.627248	61.643832	51.377642	129.152498	125.011002	118.151649	61.826544	11.138898	68.032951	92.81341	71.24185	72.69594	54.409409	48.787176	13.633946	52.717537	88.948013	75.933515
KIMJANG	1	20151023	1144000000	서울특별시	마포구	2644.031153	1476.666935	1167.364218	118.179161	113.145329	113.679646	86.056846	83.132162	22.402543	123.015904	136.380868	200.994599	182.448162	99.857467	48.763371	29.09229	58.332104	61.186483	118.179161	114.375665	83.652418	76.825811	28.420878	78.108641	121.866419	109.411903	112.343619	55.333364	31.088715	13.389688	58.029792	86.309944	80.0282
KIMJANG	1	20151023	2800000000	인천광역시		2516.96236	1426.773076	1090.189284	118.356194	117.123259	29.263742	86.130086	47.857431	117.79879	212.546498	154.997241	169.851522	97.17851	51.596841	28.783857	35.993203	81.357079	77.938823	118.356194	113.084844	56.613482	29.101319	68.809938	192.993041	99.707134	52.050885	7.75383	4.413094	39.839664	41.792426	81.024851	105.609716	79.038866
KIMJANG	1	20151023	1114000000	서울특별시	중구	2465.232764	1514.25908	950.973684	106.431635	105.058449	102.049557	89.633672	79.435751	27.964855	57.734708	161.03999	223.381938	229.049694	139.762347	101.680009	10.197585	53.112996	27.725894	106.431635	103.95115	100.706663	69.39938	56.939742	11.642122	56.55673	112.392875	77.366549	44.800513	17.208908	7.350244	46.913468	82.888908	56.424797
KIMJANG	1	20151023	1135000000	서울특별시	노원구	2507.701553	1534.051672	973.649881	110.920447	109.47035	109.262003	95.715267	26.38148	35.451807	125.016108	101.693722	152.276258	261.666882	164.902101	100.435304	4.170556	60.121229	76.568158	110.920447	109.991218	97.677898	81.180965	14.12233	83.900869	62.070247	37.381102	41.681389	62.357766	20.846667	14.230671	68.667631	88.860644	79.760037
KIMJANG	1	20151023	1165000000	서울특별시	서초구	2535.300517	1432.932169	1102.368348	107.943574	107.722727	106.303583	99.032003	69.12364	20.306986	93.795756	141.604967	188.821165	230.389412	137.098059	44.338374	5.563427	46.95309	33.935406	107.943574	107.657291	102.283356	99.653645	54.22467	49.078397	124.313492	111.639348	69.191802	43.234141	8.274933	17.261484	52.629667	75.160115	79.822433
