EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM	SUM	TIME_0	TIME_1	TIME_2	TIME_3	TIME_4	TIME_5	TIME_6	TIME_7	TIME_8	TIME_9	TIME_10	TIME_11	TIME_12	TIME_13	TIME_14	TIME_15	TIME_16	TIME_17	TIME_18	TIME_19	TIME_20	TIME_21	TIME_22	TIME_23
KIMJANG	1	20141031	4100000000	경기도	10936.82112	492.812245	560.32679	589.683546	611.255345	616.636865	606.029114	547.176869	349.077498	183.139548	149.61291	400.379758	634.533027	461.948383	589.098715	622.461459	595.35285	561.971976	549.339948	641.810336	261.901197	72.702118	139.515104	266.497534	433.557981
KIMJANG	1	20141031	1114000000	서울특별시 중구	10970.15682	466.755958	521.944861	539.206512	561.059133	566.797223	588.06631	532.356215	334.268674	99.258856	272.352913	464.388154	737.624474	432.393502	652.849869	615.062265	605.865361	541.427185	533.726524	545.322403	84.06576	148.437852	219.726325	340.984309	566.216182
KIMJANG	1	20141031	1111000000	서울특별시 종로구	10896.78096	497.099822	570.944697	603.670763	614.056413	620.035137	609.617299	532.446441	346.027763	137.998241	241.531315	420.606008	639.498621	330.83933	589.692022	603.873049	604.546292	608.288023	593.980931	614.119223	201.415666	75.42684	136.675894	272.98488	431.406289
KIMJANG	1	20141031	1168000000	서울특별시 강남구	10931.8645	492.033109	555.283614	578.008147	578.118944	588.079624	576.120899	542.623172	407.531676	202.150351	144.748715	407.4455	677.54724	441.186981	602.803359	617.421221	608.963691	592.591538	569.818993	602.408182	200.996828	63.070151	142.36411	274.342201	466.20625
KIMJANG	1	20141031	1129000000	서울특별시 성북구	10742.46637	489.334928	569.675591	600.942932	648.365895	665.893502	635.769481	559.137155	330.035529	153.467013	170.013269	397.554014	581.146497	379.698324	533.837866	535.035867	650.382034	595.050273	551.231256	673.556652	303.727135	2.260337	64.133882	207.779727	444.437213
KIMJANG	1	20141031	1138000000	서울특별시 은평구	10832.06363	468.33625	567.895407	583.016306	640.107821	659.27155	622.132858	545.790507	355.270251	148.26099	183.701932	355.401767	525.472173	431.200975	520.93744	600.272202	648.35574	629.125399	552.916272	648.25326	320.394656	28.129006	81.387775	239.678124	476.754968
KIMJANG	1	20141031	1135000000	서울특별시 노원구	10843.41412	461.138092	489.639565	555.444278	635.403474	653.600568	614.468527	565.70053	339.956035	194.903326	140.804448	393.708225	638.681856	481.822158	642.970445	562.310744	625.388299	609.308763	548.771208	595.2131	182.727814	58.582869	103.276172	284.584038	465.009587
KIMJANG	1	20141031	1144000000	서울특별시 마포구	10805.03072	450.816696	547.839711	599.759031	590.432386	620.958216	605.388897	556.678102	378.022032	204.333198	150.826638	375.189247	644.795051	405.864542	602.067857	626.375924	644.645586	595.730522	542.944302	643.99292	170.082772	22.682837	113.667448	263.546433	448.390373
KIMJANG	1	20141031	1141000000	서울특별시 서대문구	10798.93637	479.852488	575.277392	624.008345	649.319186	667.798484	638.982481	576.01418	309.226432	159.122093	168.02811	373.960406	573.359124	391.935871	559.831477	531.042562	632.318431	565.779958	577.682337	650.70563	354.554706	20.269575	103.001588	206.211526	410.653992
KIMJANG	1	20141031	1171000000	서울특별시 송파구	10916.94988	457.058831	543.29179	571.063165	627.741607	610.568252	608.440157	568.483978	361.443148	128.976624	183.370416	457.730162	724.835281	437.452229	583.229394	597.60067	586.912432	555.139601	544.127638	591.672784	196.404334	84.536056	178.862144	256.874607	461.134584
KIMJANG	1	20141031	2800000000	인천광역시	10965.17198	482.75826	551.627153	573.313658	596.917567	607.252224	595.981752	531.242653	367.251175	195.584995	132.199607	424.041777	635.195299	473.914635	604.277789	574.32661	662.786595	563.447756	552.365464	648.133964	211.896495	100.431895	168.385317	287.523772	424.315571
KIMJANG	1	20141031	1165000000	서울특별시 서초구	10972.08318	507.792045	549.39664	566.46869	570.340593	587.076868	581.279506	546.10185	399.321047	235.410483	155.494334	407.3674	667.498428	422.209696	609.440868	582.80973	616.277033	568.906555	540.517845	688.804388	226.715315	74.962597	151.120517	267.114969	449.655787
KIMJANG	1	20141031	1150000000	서울특별시 강서구	10812.70115	370.871165	494.886057	582.463973	657.735908	662.43568	662.951006	611.796323	364.604802	169.914682	129.173591	345.232557	629.822995	420.937365	631.987364	579.238606	584.824739	617.056655	540.012	612.253818	315.810884	109.491005	88.974163	194.506034	435.719774
KIMJANG	1	20141031	1156000000	서울특별시 영등포구	10867.46867	478.616171	534.564577	565.924354	606.280891	600.710569	596.014147	537.651516	373.515653	199.540566	144.109269	403.971667	652.636839	437.76453	570.735514	589.948721	603.145227	641.181845	579.663117	655.346555	155.231051	59.251462	137.386847	263.328917	480.948665
KIMJANG	1	20141031	1132000000	서울특별시 도봉구	10473.82171	375.029678	456.131301	559.394306	678.031021	743.805045	686.552501	622.991848	361.463555	159.696294	107.900326	331.192625	647.843092	353.630679	665.264171	679.411304	586.025469	504.499617	496.72515	586.873929	258.584816	18.959679	0.859219	127.095176	465.860913
