EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	INFLOW_NM3	INFLOW_NM4	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
LAMP	1	20141024	4100000000	경기도				2519.450953	1504.176978	1015.273975	125.239213	123.181329	99.452994	63.988141	24.645639	79.692248	142.772279	146.584834	221.484387	170.064161	122.052849	87.182323	4.83851	48.552563	44.445508	125.25591	123.467846	102.310897	57.943471	65.825007	114.411772	67.151838	20.259005	22.244775	2.049333	19.001705	39.563842	77.709219	95.143151	82.936204
LAMP	1	20141024	1111000000	서울특별시	종로구			2470.169106	1497.744401	972.424705	128.306659	125.404028	120.51847	97.613159	49.375903	27.794377	107.240597	129.654363	224.598026	173.407909	148.438345	113.323326	22.371827	24.603675	5.093737	128.306659	126.418214	117.419699	84.566269	20.938013	30.421933	72.459255	63.41051	78.345843	18.555471	25.062771	0.456942	51.748718	76.39776	77.916648
LAMP	1	20141024	1129000000	서울특별시	성북구			2539.779503	1478.389188	1061.390315	132.940448	130.735346	121.138338	104.283601	46.510454	50.572342	135.630755	141.183493	202.519773	148.781407	103.550374	104.248362	30.554293	3.60108	22.139122	132.940448	131.396741	123.663295	95.079635	11.975592	104.623785	73.906855	48.234418	58.755753	16.917081	34.358671	4.076798	59.785795	88.986125	76.689323
LAMP	1	20141024	1168000000	서울특별시	강남구			2447.573952	1540.782057	906.791895	124.808184	121.505865	114.059539	98.412455	76.395654	19.162174	133.690885	172.761611	201.174976	166.156973	144.741571	110.468603	40.380244	9.044461	8.018862	124.808184	121.629367	114.997881	106.632007	37.473934	39.435189	71.651591	68.633863	41.451484	0.393996	5.033351	0.44635	43.760422	72.125461	58.318815
LAMP	1	20141024	1138000000	서울특별시	은평구			2603.117775	1483.232972	1119.884803	137.023718	135.404526	127.006908	105.040609	47.937104	41.726208	159.825194	125.239547	149.663472	132.959916	123.262508	120.979373	52.503077	2.077741	22.583071	137.023718	135.7328	131.762453	84.449514	35.947393	72.652036	105.022568	56.395053	60.69959	33.680525	19.047169	11.955256	53.133305	87.480878	94.902545
LAMP	1	20141024	1114000000	서울특별시	중구			2405.746632	1541.770521	863.976111	107.957378	107.478104	99.461385	94.963869	83.828164	12.909224	99.757184	159.367485	256.044922	181.984764	159.633062	120.368429	30.750399	7.612507	19.653645	107.957378	106.232981	101.35254	78.69944	52.884121	18.031113	58.059125	65.255644	39.558908	14.062281	7.490218	17.626613	58.461238	73.195202	65.109309
LAMP	1	20141024	1135000000	서울특별시	노원구			2494.96354	1580.331799	914.631741	120.846787	118.797079	119.223675	97.636726	50.813383	49.387109	104.162386	99.629068	143.545128	152.126728	193.747639	192.128911	96.517251	7.037186	34.732743	120.588199	119.603521	115.901482	93.791514	18.891307	90.067172	63.089329	3.701844	23.659838	5.658052	4.132823	25.471801	58.52426	89.733004	81.817595
LAMP	1	20141024	1123000000	서울특별시	동대문구			2499.469886	1583.745342	915.724544	140.216998	137.576571	132.252921	115.770259	28.282644	73.116055	144.554566	114.98328	151.041196	126.16462	144.364767	141.220075	87.862621	25.809811	20.528958	140.216998	136.474998	131.597931	110.74061	8.052525	68.802799	88.087775	13.707391	21.634253	1.374113	8.275817	11.528435	50.422033	74.984139	49.824727
LAMP	1	20141024	1141000000	서울특별시	서대문구			2652.985969	1425.648932	1227.337037	138.857264	135.191194	132.665307	110.194584	49.205012	70.026903	144.224372	110.385296	156.783127	129.36479	86.774389	110.364835	19.591001	16.556341	15.464517	138.857264	136.242097	120.082372	90.93051	32.878879	112.966983	108.962393	60.051695	81.480815	39.411216	40.082679	23.143611	58.93284	92.781215	90.532468
LAMP	1	20141024	1171000000	서울특별시	송파구			2467.319445	1566.672019	900.647426	118.207532	114.928296	111.366203	83.139531	73.145216	39.836582	135.456969	155.985749	193.407703	180.222045	137.636734	155.718871	60.87834	3.817731	2.924517	118.527145	115.984619	114.736528	100.810965	43.742366	54.69222	74.399592	33.201404	8.405784	2.477059	21.144089	11.475778	47.499424	78.664942	74.885511
