EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM1	INFLOW_NM2	SUM	SUM_M	SUM_F	M_0004	M_0509	M_1014	M_1519	M_2024	M_2529	M_3034	M_3539	M_4044	M_4549	M_5054	M_5559	M_6064	M_6569	M_70U	F_0004	F_0509	F_1014	F_1519	F_2024	F_2529	F_3034	F_3539	F_4044	F_4549	F_5054	F_5559	F_6064	F_6569	F_70U
LAMP	1	20151023	4100000000	경기도		2674.946103	1585.521127	1089.424976	130.143157	128.225603	114.111046	81.906746	31.168439	83.66889	142.723506	150.795716	211.625737	189.29765	120.423599	54.967743	22.415325	71.965469	52.082501	130.1444	128.853046	111.467415	65.840652	77.597119	121.968997	66.24679	26.363571	28.60355	2.127047	23.599757	40.282105	78.926601	99.980326	87.4236
LAMP	1	20151023	1111000000	서울특별시	종로구	2588.842853	1582.097018	1006.745835	149.413746	142.998194	128.990138	104.86993	71.216607	4.935863	77.883075	78.579596	208.061284	206.288511	170.53933	144.60439	59.666517	27.530856	6.518981	149.413746	142.572309	133.253186	90.710821	41.234709	6.126663	41.619894	50.009623	82.144025	49.424293	18.55286	7.88475	39.64236	81.632962	72.523634
LAMP	1	20151023	1114000000	서울특별시	중구	2549.493583	1633.726411	915.767172	121.942073	120.955476	118.223361	104.624697	79.132945	32.866732	84.488396	148.515353	218.837361	215.524072	171.276988	131.195981	43.554601	22.040127	20.548248	121.942073	120.410251	116.919215	93.710217	55.468594	0.097328	34.225866	68.24749	58.471391	25.568177	1.504395	9.499958	54.829503	86.434562	68.438152
LAMP	1	20151023	1129000000	서울특별시	성북구	2744.114685	1588.534602	1155.580083	151.225687	147.617172	138.274408	116.364143	54.98699	68.492506	169.752722	162.301436	178.066261	162.792374	92.84749	47.633893	1.024739	50.782871	46.37191	151.225687	147.519982	141.666113	80.742517	21.691462	73.795627	98.382374	43.865886	52.368823	47.170369	37.40146	5.657493	69.750004	95.116768	89.225518
LAMP	1	20151023	1138000000	서울특별시	은평구	2742.903829	1526.781372	1216.122457	149.023294	145.873221	144.104576	110.903228	40.348402	19.75938	178.479614	165.235703	143.067459	137.073426	116.315388	70.364618	9.665543	53.226025	43.341495	149.023294	148.599447	140.970201	100.851252	22.778636	96.624817	78.506667	70.411712	76.813895	56.265165	42.759621	7.813174	51.870761	88.449803	84.384012
LAMP	1	20151023	1168000000	서울특별시	강남구	2616.701237	1590.465168	1026.236069	126.714038	125.989512	125.791247	115.775172	78.836612	22.89068	143.908463	181.877513	175.02879	197.158636	157.050278	73.874265	29.232726	17.464898	18.872338	126.714038	126.714038	120.075818	108.444247	33.688395	64.120096	82.764388	67.742723	30.561839	5.607321	16.343843	18.808698	54.807333	87.880941	81.962351
LAMP	1	20151023	2800000000	인천광역시		2648.826372	1440.71113	1208.115242	131.787962	131.079134	49.756937	74.539484	39.370484	149.606358	213.366536	150.587609	152.49457	86.324904	55.512024	31.65783	16.180156	86.76942	71.677722	131.787962	127.482094	57.302786	65.210984	70.053588	201.424893	101.120376	39.97334	9.152527	15.016407	54.925037	39.365195	92.567002	112.115327	90.617724
LAMP	1	20151023	1141000000	서울특별시	서대문구	2850.465735	1563.748094	1286.717641	159.3714	156.306918	150.413194	115.247944	71.79842	81.99789	149.499148	126.458313	161.582236	141.04639	97.148639	61.156869	7.65241	67.621315	16.447008	159.3714	157.286027	147.409112	97.169407	21.989355	99.262622	79.941127	66.271756	62.962497	66.475207	57.644159	12.741866	60.980544	100.500919	96.711643
LAMP	1	20151023	1144000000	서울특별시	마포구	2721.053422	1570.592935	1150.460487	134.08193	131.667514	130.957554	111.114594	81.539383	44.54339	153.918629	169.203481	171.510161	179.383255	101.795981	51.261764	15.797663	55.085786	38.73185	134.08193	131.913375	114.203057	97.503809	17.601569	80.458513	112.497864	79.870103	88.947643	36.700683	21.540142	8.89144	45.447461	94.307609	86.495289
LAMP	1	20151023	1135000000	서울특별시	노원구	2636.814559	1620.023209	1016.79135	131.288097	129.807067	126.956153	108.72531	29.905604	53.254382	138.456692	97.299055	152.955782	236.421423	160.755505	114.490677	17.462356	56.519689	65.725417	131.288097	130.787937	124.266402	96.065697	22.31669	105.390538	38.555227	11.571579	44.429333	48.044379	5.147298	17.85174	68.106736	97.852381	75.117316
LAMP	1	20151023	1171000000	서울특별시	송파구	2605.505147	1609.35104	996.154107	120.575888	120.360421	117.750873	108.21046	55.002013	47.018751	193.012795	160.531103	190.035157	172.303995	142.65929	77.78269	22.018561	47.933489	34.155554	120.575888	120.046198	117.313953	101.210766	10.873117	60.222107	88.852321	58.537272	34.467782	0.057857	16.008421	20.952198	61.905944	92.651927	92.478356
LAMP	1	20151023	1165000000	서울특별시	서초구	2626.967135	1515.485651	1111.481484	124.691807	124.203166	122.743892	111.794351	72.856	20.088785	131.778095	154.684375	190.970105	228.588793	121.343787	57.508027	7.384126	38.012925	8.837417	124.691807	124.209814	121.89625	110.813745	39.232864	62.431	106.485119	75.531225	50.397807	15.691019	13.258452	20.957036	65.220574	80.660956	100.003816
