EVENT	SECTOR	DATE	INFLOW_CD	INFLOW_NM	SUM	TIME_0	TIME_1	TIME_2	TIME_3	TIME_4	TIME_5	TIME_6	TIME_7	TIME_8	TIME_9	TIME_10	TIME_11	TIME_12	TIME_13	TIME_14	TIME_15	TIME_16	TIME_17	TIME_18	TIME_19	TIME_20	TIME_21	TIME_22	TIME_23
LAMP	1	20141024	4100000000	경기도	10840.74227	489.719519	553.515308	592.203925	624.845908	630.257097	615.534339	555.37864	374.43114	180.899781	120.229539	353.346948	599.970545	479.858891	609.725171	606.28822	609.166115	565.837557	537.902285	690.664975	247.380888	64.478011	129.663519	231.227293	378.216652
LAMP	1	20141024	1114000000	서울특별시 중구	11033.23442	504.9806	543.645488	574.705822	594.574659	597.193574	590.118623	530.168745	331.699592	111.386747	249.259214	434.554253	698.96575	483.836417	623.787365	576.503336	584.119529	572.912512	523.859261	614.124538	154.695036	151.877116	233.203162	320.729247	432.333833
LAMP	1	20141024	1111000000	서울특별시 종로구	10960.84422	501.756187	563.084845	585.270042	598.904783	608.590048	593.760883	529.766596	360.605531	176.721756	152.50061	392.381781	598.34004	464.864781	532.932032	602.857985	597.024258	600.077384	627.581067	681.255618	230.606556	87.817027	177.351969	290.483701	406.308741
LAMP	1	20141024	1168000000	서울특별시 강남구	11025.12917	493.094172	530.630894	570.891599	594.766683	599.630513	587.560348	529.465602	385.902168	196.209842	170.192676	367.094318	648.114576	467.419739	607.561803	611.716324	602.891692	575.675706	519.091965	703.953245	238.852542	133.778777	188.452153	278.209475	423.972361
LAMP	1	20141024	1129000000	서울특별시 성북구	10715.57842	491.183878	571.69683	606.603178	654.415847	673.115195	652.041381	565.890333	359.331921	181.489402	124.234157	302.484208	561.243843	401.935639	496.621295	612.219101	552.113092	613.569684	532.585207	736.785992	371.017048	52.979942	47.788392	187.420517	366.812334
LAMP	1	20141024	1138000000	서울특별시 은평구	10703.60469	472.272774	575.826587	608.577208	642.844269	675.490565	638.511052	606.289508	352.779581	129.881611	148.446506	330.22922	467.632793	457.222641	496.944412	574.197129	554.524401	549.665833	586.470228	792.817771	393.651412	21.07056	89.78725	189.182963	349.288417
LAMP	1	20141024	1135000000	서울특별시 노원구	10744.9663	468.180335	494.700433	565.669206	621.048597	652.688891	648.397077	604.887235	436.543986	213.405159	101.033332	316.27096	523.343097	524.601451	587.728197	529.642754	546.289312	517.737704	567.377582	794.879227	363.579532	0.092536	74.856094	214.063921	377.949679
LAMP	1	20141024	1171000000	서울특별시 송파구	10867.80379	505.579121	537.70228	589.185808	613.122046	621.99755	607.761514	544.96442	358.754985	146.871843	145.107018	319.062092	654.16141	494.426358	617.05804	641.418637	598.506355	516.88935	500.403412	711.646012	235.223209	108.899739	145.514696	267.125515	386.422377
LAMP	1	20141024	2800000000	인천광역시	10808.34442	502.429663	567.901366	586.918894	605.630949	616.665212	613.018169	553.16418	395.864455	197.422796	76.038445	349.358125	577.538652	529.419279	578.283707	577.900004	578.753092	542.506169	567.189839	735.743619	291.441279	28.611972	105.39361	253.659543	377.4914
LAMP	1	20141024	1144000000	서울특별시 마포구	10754.57985	507.753874	553.430433	597.699139	609.182182	622.910712	613.787198	572.054986	402.023356	182.107341	69.123564	335.707141	613.105228	487.196801	577.991496	544.12045	568.403941	598.778951	573.449402	743.158562	266.25439	53.096132	106.814754	218.149154	338.280667
